#{"t_start": 1777453399.439731, "env_id": "None"}
r,l,t
-120.42825,281,88.948617
-145.10568,271,89.149524
-202.54137,437,89.837276
-241.34445,493,91.015589
-165.42776,600,91.103001
-179.73735,600,91.674047
-612.4876,600,92.363421
-156.72264,600,93.624081
-167.57898,600,93.704071
-122.91631,600,94.266862
-114.28682,158,94.939226
-192.4614,600,94.972726
-71.579926,177,95.669411
-119.124306,600,96.138376
-602.524,600,96.221059
-574.69653,600,97.472873
-622.82166,600,98.177438
-613.7916,600,98.652535
-563.33405,600,98.735958
-206.5029,401,99.87059
-592.20135,600,99.992989
-590.4981,600,101.175147
-619.16455,600,101.259106
-562.98004,600,102.42632
-600.2235,600,102.555177
-100.14725,600,103.745265
-181.31706,600,103.824408
-100.562004,600,104.95626
-144.2603,600,105.068501
-138.95355,600,106.202935
-626.74835,600,106.284939
-641.21625,600,107.407104
-109.79982,600,107.534611
-114.697586,600,108.751753
-97.44997,600,108.834398
-597.16394,600,110.03152
-90.82501,600,110.152628
-613.6806,600,111.312643
-78.81342,600,111.394844
-63.009388,600,112.523105
-91.96726,600,112.640035
-59.791435,164,113.323985
-89.06204,485,113.341541
-71.884705,600,113.874585
-77.34607,600,114.973133
-77.10004,600,115.748481
-215.6455,600,115.771956
-369.93823,600,116.320051
-60.860764,600,117.457396
-594.66595,600,118.270347
-613.6508,600,118.286193
-73.489,600,118.836001
-80.5753,331,118.838042
-75.055664,600,120.779749
-70.66583,600,120.797626
-62.455666,600,121.35059
-61.47823,600,121.352561
-83.91887,383,122.955899
-76.73959,600,123.29074
-69.298676,600,123.305496
-94.26388,600,123.855017
-57.891415,203,124.141912
-84.62626,350,124.430819
-63.897293,140,125.01368
-59.147038,600,125.790446
-87.490944,600,126.349798
-76.058876,338,126.402445
-84.97916,600,126.635523
-80.60121,262,127.435027
-85.51766,600,128.29264
-83.60663,600,131.191223
-64.79484,600,131.425499
-55.20479,600,132.221732
-68.88303,600,133.070711
-52.50636,600,133.687912
-64.48981,600,133.923179
-58.723827,600,134.728332
-64.6549,600,135.584805
-49.43917,600,136.204069
-54.859375,600,136.437011
-47.977272,600,137.240207
-50.152317,600,138.09933
-58.461796,600,138.725249
-55.304874,600,138.972781
-47.909046,600,139.762086
-53.49642,600,140.619777
-56.614452,600,141.236524
-60.80436,600,141.473041
-67.29334,600,142.305976
-164.90327,235,142.489468
-63.068115,600,143.17571
-75.29074,600,143.867441
-45.328373,600,144.937462
-52.46502,600,145.117832
-31.799625,600,145.923556
-33.998253,600,146.592803
-63.211132,600,147.624014
-51.418518,600,147.808617
-40.965343,600,148.480943
-31.60469,600,149.094178
-68.19084,600,150.206584
-40.245968,600,150.381174
-116.714424,600,151.069168
-41.6238,600,151.710009
-44.103745,600,152.793556
-54.531624,600,152.989626
-32.666435,600,153.737117
-51.89984,600,154.371109
-37.379517,600,155.425737
-31.314644,600,155.607612
